Epoch, Train Loss, Train Acc, Val Loss, Val Acc
1, 4.6130, 0.0102, 4.6132, 0.0128
2, 4.5792, 0.0219, 4.5716, 0.0161
3, 4.5298, 0.0227, 4.5288, 0.0199
4, 4.5014, 0.0263, 4.5155, 0.0154
5, 4.4904, 0.0257, 4.4874, 0.0206
6, 4.4174, 0.0282, 4.4124, 0.0327
7, 4.3582, 0.0337, 4.4534, 0.0229
8, 4.3189, 0.0359, 4.3673, 0.0270
9, 4.2547, 0.0433, 4.4062, 0.0357
10, 4.1972, 0.0445, 4.2546, 0.0402
11, 4.1497, 0.0476, 4.2265, 0.0383
12, 4.1053, 0.0518, 4.1704, 0.0435
13, 4.0762, 0.0552, 4.1607, 0.0462
14, 4.0524, 0.0617, 4.2183, 0.0424
15, 4.0239, 0.0582, 4.0606, 0.0571
16, 3.9873, 0.0626, 4.0379, 0.0574
17, 3.9546, 0.0665, 4.0073, 0.0608
18, 3.9134, 0.0710, 3.9768, 0.0691
19, 3.8877, 0.0722, 3.9700, 0.0672
20, 3.8395, 0.0764, 3.9628, 0.0706
21, 3.8183, 0.0814, 3.9103, 0.0777
22, 3.7729, 0.0864, 3.9084, 0.0785
23, 3.7579, 0.0903, 3.8724, 0.0751
24, 3.7191, 0.0939, 3.8505, 0.0833
25, 3.6874, 0.0975, 3.8087, 0.0863
26, 3.6622, 0.1053, 3.8095, 0.0916
27, 3.6121, 0.1130, 3.7365, 0.0897
28, 3.5706, 0.1144, 3.7029, 0.0957
29, 3.5143, 0.1238, 3.6467, 0.1040
30, 3.4703, 0.1300, 3.6944, 0.1096
31, 3.4302, 0.1382, 3.6384, 0.1141
32, 3.3972, 0.1418, 3.5750, 0.1235
33, 3.3661, 0.1505, 3.5248, 0.1265
34, 3.3188, 0.1574, 3.4961, 0.1295
35, 3.2859, 0.1614, 3.4622, 0.1329
36, 3.2348, 0.1730, 3.4306, 0.1456
37, 3.1960, 0.1841, 3.4629, 0.1441
38, 3.1596, 0.1863, 3.4162, 0.1494
39, 3.1301, 0.1915, 3.3918, 0.1411
40, 3.1094, 0.1957, 3.4322, 0.1588
41, 3.0694, 0.2015, 3.3664, 0.1667
42, 3.0266, 0.2106, 3.4134, 0.1595
43, 2.9969, 0.2209, 3.2560, 0.1734
44, 2.9436, 0.2341, 3.2716, 0.1768
45, 2.9141, 0.2360, 3.1986, 0.1952
46, 2.8650, 0.2496, 3.2022, 0.1892
47, 2.8618, 0.2471, 3.7889, 0.1351
48, 2.8383, 0.2479, 3.3327, 0.1753
49, 2.7990, 0.2614, 3.2277, 0.1929
50, 2.7321, 0.2736, 3.1367, 0.2177
51, 2.6875, 0.2854, 3.1554, 0.1956
52, 2.6988, 0.2826, 3.1213, 0.2053
53, 2.6492, 0.2958, 3.0972, 0.2132
54, 2.6162, 0.2994, 3.0881, 0.2233
55, 2.6024, 0.3040, 3.1746, 0.2196
56, 2.5613, 0.3172, 3.0764, 0.2196
57, 2.5614, 0.3129, 3.1127, 0.2080
58, 2.5264, 0.3180, 3.0784, 0.2331
59, 2.4651, 0.3346, 3.0587, 0.2402
60, 2.4636, 0.3364, 3.0763, 0.2387
61, 2.4247, 0.3442, 3.0937, 0.2372
62, 2.4158, 0.3406, 3.0694, 0.2474
63, 2.3887, 0.3541, 3.0635, 0.2402
64, 2.3524, 0.3603, 3.0521, 0.2459
65, 2.3162, 0.3711, 3.0338, 0.2496
66, 2.3027, 0.3672, 3.0481, 0.2436
67, 2.2669, 0.3816, 3.0447, 0.2466
68, 2.2370, 0.3839, 3.0179, 0.2481
69, 2.2260, 0.3849, 3.0027, 0.2579
70, 2.1863, 0.4037, 3.0500, 0.2594
71, 2.1644, 0.4060, 3.0100, 0.2560
72, 2.1834, 0.3967, 2.9880, 0.2729
73, 2.1186, 0.4188, 2.9534, 0.2658
74, 2.0900, 0.4183, 2.9407, 0.2695
75, 2.0764, 0.4257, 2.9612, 0.2759
76, 2.0451, 0.4261, 2.8770, 0.2838
77, 2.0319, 0.4307, 2.9481, 0.2823
78, 2.0445, 0.4368, 2.8377, 0.2905
79, 2.0154, 0.4419, 2.9719, 0.2797
80, 1.9910, 0.4502, 2.9194, 0.2842
81, 1.9989, 0.4419, 3.0236, 0.2763
